School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
ABERDEEN SCHOOL DISTRICT,2014-15,275,90.2%,8.7%,0.4%,0.7%,0.0%,0.4%,0.0%,0.4%,93.5%,93.5%,91.3%,92.4%,98.2%,92.0%,248,24,1,2,0,1,0,1,18,18,24,21,5,22
ADNA SCHOOL DISTRICT,2014-15,41,95.1%,0.0%,2.4%,2.4%,0.0%,2.4%,0.0%,0.0%,97.6%,97.6%,97.6%,97.6%,97.6%,95.1%,39,0,1,1,0,1,0,0,1,1,1,1,1,2
ALMIRA SCHOOL DISTRICT,2014-15,8,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,87.5%,87.5%,87.5%,87.5%,87.5%,75.0%,6,0,0,2,0,2,0,0,1,1,1,1,1,2
ANACORTES SCHOOL DISTRICT,2014-15,198,84.8%,10.1%,1.0%,4.0%,0.0%,3.0%,0.0%,1.0%,90.9%,90.9%,90.4%,89.4%,92.9%,89.4%,168,20,2,8,0,6,0,2,18,18,19,21,14,21
ARLINGTON SCHOOL DISTRICT,2014-15,356,83.1%,2.0%,6.2%,8.7%,2.8%,4.2%,1.1%,1.1%,90.2%,88.5%,88.8%,87.9%,91.9%,89.0%,296,7,22,31,10,15,4,4,35,41,40,43,29,39
ASOTIN-ANATONE SCHOOL DISTRICT,2014-15,33,87.9%,0.0%,0.0%,12.1%,9.1%,3.0%,0.0%,0.0%,90.9%,90.9%,90.9%,90.9%,93.9%,87.9%,29,0,0,4,3,1,0,0,3,3,3,3,2,4
AUBURN SCHOOL DISTRICT,2014-15,1328,72.7%,1.8%,21.4%,4.1%,1.3%,2.7%,0.1%,0.1%,83.9%,83.8%,85.5%,82.1%,89.2%,83.6%,965,24,284,55,17,36,1,1,214,215,192,238,144,218
BAINBRIDGE ISLAND SCHOOL DISTRICT,2014-15,243,79.4%,0.8%,1.2%,18.5%,4.5%,14.0%,1.2%,0.0%,89.3%,88.5%,88.1%,86.4%,82.7%,87.2%,193,2,3,45,11,34,3,0,26,28,29,33,42,31
BATTLE GROUND SCHOOL DISTRICT,2014-15,879,76.3%,3.0%,9.7%,11.0%,1.8%,8.6%,0.6%,0.0%,83.5%,83.5%,83.6%,83.4%,84.5%,82.0%,671,26,85,97,16,76,5,0,145,145,144,146,136,158
BELLEVUE SCHOOL DISTRICT,2014-15,1903,86.5%,0.3%,8.8%,4.4%,1.2%,3.2%,0.0%,0.0%,93.0%,97.7%,92.1%,91.9%,93.6%,90.6%,1647,6,167,83,23,61,0,0,133,43,150,154,121,178
