County,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
ADAMS,2014-15,390,94.4%,2.3%,2.1%,1.3%,0.5%,0.8%,0.0%,0.0%,96.7%,96.7%,97.2%,96.2%,97.9%,95.4%,368,9,8,5,2,3,0,0,13,13,11,15,8,18
ASOTIN,2014-15,248,78.2%,3.2%,14.1%,4.4%,1.6%,2.4%,0.4%,0.0%,87.1%,86.7%,86.3%,87.9%,94.0%,83.1%,194,8,35,11,4,6,1,0,32,33,34,30,15,42
BENTON,2014-15,2866,92.4%,1.8%,3.5%,2.4%,0.7%,1.6%,0.1%,0.0%,95.8%,95.8%,95.8%,95.9%,96.8%,95.2%,2647,51,99,69,20,45,4,0,121,120,120,118,91,137
CHELAN,2014-15,1014,93.8%,1.1%,1.4%,3.7%,0.6%,2.9%,0.2%,0.1%,96.2%,96.2%,95.6%,95.6%,96.1%,95.4%,951,11,14,38,6,29,2,1,39,39,45,45,40,47
CLALLAM,2014-15,305,76.1%,2.3%,18.4%,3.3%,0.7%,3.0%,0.0%,0.0%,84.3%,83.9%,87.2%,84.3%,93.4%,83.6%,232,7,56,10,2,9,0,0,48,49,39,48,20,50
CLARK,2014-15,5742,76.6%,2.3%,14.2%,6.9%,1.3%,5.1%,0.4%,0.2%,84.0%,84.0%,85.4%,83.3%,87.6%,83.4%,4397,131,817,397,73,290,25,13,919,920,840,961,713,952
COLUMBIA,2014-15,39,69.2%,0.0%,25.6%,5.1%,5.1%,0.0%,0.0%,0.0%,76.9%,76.9%,84.6%,76.9%,82.1%,79.5%,27,0,10,2,2,0,0,0,9,9,6,9,7,8
COWLITZ,2014-15,1304,88.9%,2.8%,4.9%,3.4%,1.1%,2.1%,0.1%,0.1%,91.3%,91.4%,91.6%,91.3%,94.7%,91.5%,1159,37,64,44,14,28,1,1,113,112,110,114,69,111
DOUGLAS,2014-15,535,90.7%,0.9%,7.3%,1.1%,1.9%,0.9%,0.0%,0.0%,93.1%,93.1%,93.8%,93.3%,97.4%,93.3%,485,5,39,6,10,5,0,0,37,37,33,36,14,36
FERRY,2014-15,44,65.9%,2.3%,22.7%,9.1%,4.5%,4.5%,0.0%,0.0%,77.3%,77.3%,77.3%,77.3%,84.1%,72.7%,29,1,10,4,2,2,0,0,10,10,10,10,7,12
FRANKLIN,2014-15,1546,95.2%,2.0%,1.6%,1.2%,0.2%,0.8%,0.1%,0.0%,97.3%,97.3%,96.8%,97.4%,98.2%,96.2%,1472,31,25,18,3,13,2,0,41,41,49,40,28,58
GARFIELD,2014-15,23,95.7%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,22,1,0,0,0,0,0,0,1,1,1,1,1,1
GRANT,2014-15,1483,89.9%,1.5%,6.9%,1.8%,0.3%,1.1%,0.1%,0.2%,92.9%,92.9%,93.1%,93.1%,95.9%,93.1%,1333,22,102,26,5,17,1,3,105,105,103,103,61,103
GRAYS HARBOR,2014-15,819,74.0%,3.1%,20.3%,2.7%,1.5%,1.1%,0.1%,0.1%,78.8%,78.8%,78.4%,77.0%,85.3%,77.8%,606,25,166,22,12,9,1,1,174,174,177,188,120,182
ISLAND,2014-15,747,83.4%,2.1%,8.2%,6.3%,2.7%,3.2%,0.8%,0.0%,87.3%,87.1%,87.1%,87.4%,90.8%,86.5%,623,16,61,47,20,24,6,0,95,96,96,94,69,101
JEFFERSON,2014-15,183,66.7%,3.3%,21.9%,8.2%,1.6%,4.4%,1.1%,1.1%,80.3%,79.8%,78.1%,78.1%,78.7%,76.0%,122,6,40,15,3,8,2,2,36,37,40,40,39,44
KING,2014-15,24861,80.6%,1.7%,13.1%,4.6%,1.2%,3.4%,0.1%,0.1%,92.0%,92.5%,88.6%,87.4%,91.1%,86.8%,20030,433,3252,1146,302,839,23,13,1980,1871,2827,3131,2203,3274
KITSAP,2014-15,2753,86.3%,2.0%,6.9%,4.7%,1.5%,3.0%,0.3%,0.0%,91.6%,91.5%,91.9%,90.9%,93.3%,90.4%,2377,56,191,129,41,82,8,1,230,233,224,250,185,264
KITTITAS,2014-15,418,71.1%,1.4%,22.5%,5.0%,1.7%,3.1%,0.2%,0.0%,83.3%,83.3%,84.4%,81.6%,86.4%,80.1%,297,6,94,21,7,13,1,0,70,70,65,77,57,83
KLICKITAT,2014-15,199,83.4%,5.5%,5.0%,6.0%,4.0%,1.5%,0.5%,0.0%,88.4%,88.4%,90.5%,88.9%,91.5%,88.4%,166,11,10,12,8,3,1,0,23,23,19,22,17,23
LEWIS,2014-15,854,89.8%,2.1%,4.9%,3.2%,1.2%,2.1%,0.1%,0.0%,93.1%,93.0%,94.1%,93.3%,95.6%,92.5%,767,18,42,27,10,18,1,0,59,60,50,57,38,64
LINCOLN,2014-15,163,65.0%,1.8%,28.2%,4.9%,0.0%,4.9%,0.0%,0.0%,74.2%,74.2%,75.5%,71.2%,89.6%,74.2%,106,3,46,8,0,8,0,0,42,42,40,47,17,42
MASON,2014-15,612,80.4%,2.5%,13.1%,4.1%,0.7%,2.9%,0.3%,0.2%,83.8%,83.8%,86.9%,83.5%,91.8%,85.8%,492,15,80,25,4,18,2,1,99,99,80,101,50,87
OKANOGAN,2014-15,409,80.2%,2.2%,12.7%,4.9%,0.2%,4.2%,0.5%,0.0%,85.6%,85.6%,86.1%,86.1%,92.2%,83.9%,328,9,52,20,1,17,2,0,59,59,57,57,32,66
PACIFIC,2014-15,195,84.1%,3.1%,9.7%,3.1%,1.5%,1.0%,0.5%,0.0%,94.9%,94.9%,95.4%,94.4%,96.9%,95.9%,164,6,19,6,3,2,1,0,10,10,9,11,6,8
PEND OREILLE,2014-15,114,58.8%,4.4%,24.6%,12.3%,5.3%,6.1%,0.0%,0.9%,77.2%,77.2%,78.1%,74.6%,83.3%,64.0%,67,5,28,14,6,7,0,1,26,26,25,29,19,41
PIERCE,2014-15,10747,86.3%,1.6%,8.5%,3.6%,1.3%,2.2%,0.1%,0.1%,92.0%,94.7%,92.2%,91.1%,94.3%,90.8%,9275,171,909,392,135,239,16,11,864,566,839,959,608,986
SAN JUAN,2014-15,82,74.4%,2.4%,11.0%,12.2%,7.3%,4.9%,1.2%,0.0%,85.4%,85.4%,86.6%,86.6%,84.1%,84.1%,61,2,9,10,6,4,1,0,12,12,11,11,13,13
SKAGIT,2014-15,1539,86.0%,3.8%,3.7%,6.4%,1.4%,4.4%,0.1%,0.6%,91.4%,91.4%,91.4%,90.4%,92.1%,90.1%,1324,59,57,99,22,67,2,9,132,132,133,148,122,152
SKAMANIA,2014-15,69,71.0%,1.4%,18.8%,8.7%,2.9%,5.8%,0.0%,0.0%,81.2%,81.2%,81.2%,79.7%,85.5%,75.4%,49,1,13,6,2,4,0,0,13,13,13,14,10,17
